ETG,T-type,Arm Class,Bar,Disk,Ring,Core,Multiple,Compactness,AGN,Pseudobulge,BCG,cD,M_BH,M_BH_std,M*_sph,M*_disk,M*_gal,log_B/T,log_D/T,m_#_of_arms,phi,log_sigma0,log_v_max,M_DM,log_R_e_sph_maj,log_R_e_sph_eq_kpc,log_n_sph_maj,log_n_sph_eq,"log(I_e,sph,maj/M_Sun/pc^2)","log(I_e,sph,eq/M_Sun/pc^2)",Concentration_Index,avg_Rho_1kpc_Exact_All,r1_density_approx,log10(R10_kpc),logRho_R10_approx,log_rho10_Exact,log10(R90_kpc),logRho_R90_approx,log_rho_90_Exact_all,Rho_re_spatial,SR_pc_All,Rho_SR_pc_All,CR_def1_approx_new,Rho_cr_def1_approx_new,CR_def2_approx_new,Rho_CR_def2_approx_new,Sr(pc)_2_using_Falserm_drho,Log_Approx_Avg_density_10pc,log_Rho_e_Exact_new,logRho_e_approx_New,logRho_soi_approx_new,log_Rho_soi_exact_new,Rb_maj,Rb_maj_kpc,Rb_eq_kpc,Avg_Rho_Re_Exact_all,Avg_Rho_soi_exact_all,Avg_Rho_re_Exact_all,Rho_re_Exact_all,r_soi_2BH_approx,Rho_r_soi_2BH_approx,Log_Avg_Rho_10kpc_approx,Log_Avg_Rho_10kpc_exact_final,Log_Avg_Rho_100pc_approx,Log_Avg_Rho_5kpc_approx,Log_Avg_rho_5kpc_exact_all,brief,ube,bve,mg2,dc,ubtc,bvtc,bri25,m21c,hic,mabs,logblum
1,-2.6,,1,1.0,0,0.0,0,0,0.0,0,0,0,7.62,0.05,10.33,10.75,10.89,-0.56,-0.14,,,2.294686624,2.040800061,,-0.31,-0.41,0.32,0.3,3.730467629,3.798467629,0.324,2.91479,801.4,-1.048343205,2.185830406,2.181775757,0.117913435,-0.782875109,-0.784382092,3.58546442,135.204,77.21652626,135.52,76.43211516,194.8,38.56628232,8.63,3.528449514,0.893806957,0.8903678,3.681365043,3.599468545,,,,23.6088,5337.67,13.5596,3.83448,24.2,894.832,-2.414284409,-2.414283281,2.386992728,-1.512143581,-1.512105451,19.857,0.61,1.01,0.289,24.458348,0.475,0.91,22.594,12.135,2.842,-20.61,10.42
1,-0.7,,0,1.0,0,0.0,1,0,1.0,0,0,0,7.82,0.04,10.78,10.62,11.01,-0.23,-0.39,,,2.17,2.308585754,,-0.05,-0.04,0.58,0.59,3.491623423,3.403623423,0.474,4.91427,1015.2,-0.901250728,2.158836746,2.156354395,0.692691765,-2.247483145,-2.248291372,0.618911983,166.466,80.20991592,167.08,80.2912736,121.94,152.7687723,8.12,4.290203401,0.143613369,0.141475126,3.868532326,3.846995415,,,,6.20939,12982.6,3.37481,0.671358,13.2,7038.6,-1.975079435,-1.975124545,2.738685447,-1.115443649,-1.114947646,22.686,0.53,1.035,,24.85370938,0.351,0.801,23.487,15.681,2.217,-20.336,10.3104
1,-2,,0,1.0,0,0.0,0,0,0.0,0,0,0,9.48,0.16,10.95,10.4,11.0569,-0.11,-0.66,,,2.44,,,0.09,0.07,0.63,0.62,3.426113357,3.410113357,0.464,7.22807,1200.2,-0.814895503,2.130763303,2.128377435,0.826877997,-2.427637618,-2.428350866,0.486240691,186.78,88.9440401,186.78,89.71657393,132.88,179.8695234,8.46,4.439514502,0.040330251,0.038296816,2.041436382,2.039493711,,,,5.06458,291.877,2.70843,0.521778,167.2,112.903,-1.751776534,-1.751776534,2.879892598,-0.907739151,-0.907739151,20.923,,1.22,,21.89014191,,,23.373,,,-20.425,10.346
1,-2.2,,0,0.0,0,0.0,0,0,1.0,0,1,1,8.88,0.21,11.56,10.54,11.6,-0.04,-1.06,,,2.388509715,,,1.36,1.24,0.68,0.63,1.78445054,1.92445054,0.442,3.68296,1301.5,0.371948226,-0.506285059,-0.50860131,2.041555958,-5.155493547,-5.155954307,0.000991461,95.283,68.38051337,98.88,69.3605796,1900.52,0.480915806,37.97,3.35137724,-2.647428507,-2.649403532,2.17160942,2.135593881,,,,0.0106238,237.025,0.00576376,0.00109064,198.2,24.7652,-1.359032862,-1.360502554,2.097632078,-0.720988185,-0.724617229,20.734,-0.045,0.75,,49.85356967,-0.027,0.534,23.001,,,-22.636,11.2304
1,-0.8,,0,1.0,0,0.0,0,0,0.0,0,0,0,9.08,0.12,11.43,10.49,11.4771,-0.05,-0.99,,,2.48,,,0.32,0.29,0.73,0.75,3.348623486,3.220623486,0.556,11.2999,1419.2,-0.725329338,2.141283458,2.139400472,1.173236525,-3.240396922,-3.433341589,0.187046737,218.551,99.46129649,218.87,99.42254794,79.4,836.4746942,5.78,4.878949778,-0.367343326,-0.368918422,3.19946722,3.192986574,,,,2.35694,3880.43,1.26777,0.208926,45.0,2518.79,-1.499446567,-1.520241913,3.153641112,-0.683224753,-0.683614441,20.762,,1.215,,23.13878105,,0.901,23.284,,,-20.47,10.364
1,-1.8,,1,1.0,0,0.0,0,0,0.0,0,1,0,8.16,0.29,11.05,11.58,11.69,-0.64,-0.11,,,2.348421698,,,0.27,0.14,0.3,0.26,3.495592253,3.543592253,0.299,6.6164,1530.0,-0.466176544,1.280713644,1.276433269,0.645890911,-1.501512872,-1.503173499,0.562146693,93.099,92.23975838,99.86,91.68911855,794.51,4.438196101,14.36,3.003773972,0.083167431,0.079526977,2.783673448,2.673790936,,,,3.4401,603.842,2.02771,0.606841,71.6,130.379,-1.586112073,-1.585911174,2.13904116,-0.73275081,-0.731892613,,0.47,0.93,0.245,69.92777368,0.356,0.828,23.778,,,-22.264,11.0816
1,-2.9,,0,1.0,0,0.0,0,0,0.0,0,1,0,9.15,0.07,11.15,9.82,11.17,-0.02,-1.35,,,2.469262225,2.14025657,,0.56,0.28,0.71,0.57,2.740752414,3.128752414,0.353,6.39614,1290.0,-0.550977077,1.486298057,1.483710576,1.00119333,-2.783830638,-2.784681982,0.153610877,158.893,88.79579589,160.27,88.77577071,300.84,26.79952363,13.51,4.017292161,-0.461063519,-0.46329819,2.545228114,2.532412456,,,,1.49473,673.925,0.815219,0.166917,139.2,114.346,-1.647892766,-1.647352553,2.628880171,-0.837964596,-0.8373669,,0.625,1.015,0.327,34.46200566,0.558,0.907,23.558,15.551,4.516,-20.743,10.4732
1,-4.5,,0,1.0,0,0.0,0,0,0.0,0,0,0,8.76,0.05,10.3,10.28,10.59,-0.29,-0.31,,,2.253749808,,,0.06,0.03,0.23,0.22,2.959531734,2.971531734,0.294,1.33919,740.3,-0.563149639,0.748300635,0.743791979,0.506311553,-1.88099674,-1.882748473,0.198972024,35.657,45.79103682,41.36,46.17733399,667.69,1.240068944,11.92,2.29034081,-0.371602336,-0.375401506,1.404543403,1.372089108,,,,1.14634,32.8829,0.683533,0.214276,330.0,4.24098,-2.405667128,-2.405615681,1.460385103,-1.524535114,-1.524023896,,0.485,0.945,0.294,16.0395671,0.453,0.894,23.179,,,-19.514,9.9816
1,-4.6,,0,0.0,0,1.0,0,0,0.0,0,0,1,8.67,0.06,11.46,,11.46,0.0,,,,2.521438846,,,1.57,0.76,1.0,1.0,0.996131488,1.104131488,0.632,5.91374,1220.8,0.182852714,-0.226469116,-0.227903863,2.694932366,-7.527372977,-0.611565205,0.000383997,169.351,81.03767933,170.18,81.20487681,62.53,632.140101,3.43,4.698540016,-2.324465351,-3.698528728,3.829887962,3.817975073,,,,0.00151789,16378.9,0.000823822,0.000101017,34.6,2021.55,-1.551357052,-1.55238155,2.846771808,-0.821990507,-0.82370033,,0.545,0.98,0.333,47.74622912,0.495,0.934,23.945,,,-21.218,10.6632
1,-4.5,,0,0.0,0,1.0,0,0,0.0,0,1,0,9.65,0.08,11.6,10.77,11.66,-0.06,-0.89,,,2.424277122,,,0.82,0.8,0.6,0.59,2.464872938,2.474629714,0.454,4.74689,1346.7,-0.050921122,0.37419832,0.371709012,1.538757473,-4.018484541,-4.019243475,0.010268554,117.239,78.06205511,120.1,78.53147681,871.49,2.464986392,24.4,3.573536812,-1.634186592,-1.636333692,1.314663038,1.304328891,1.31131759,0.174405239,0.155135,0.103268,41.7953,0.0562749,0.0112303,509.4,6.90874,-1.453248876,-1.452959171,2.293424435,-0.743032234,-0.74375143,,0.64,1.03,0.326,52.844877,,0.946,23.45,,,-21.85,10.916
