ID,Galaxy,Morphology,Type,T-type,T-type_std,Arm Class,Bar,Disk,Core,AGN,Pseudobulge,BCG/cD,M_BH,M_BH_std,M*_sph,M*_sph_std,M*_disk,M*_disk_std,M*_gal,M*_gal_std,B/T,B/T_std,log_B/T,log_B/T_std,D/T,D/T_std,log_D/T,log_D/T_std,m_#_of_arms,phi,phi_std,tan_phi,tan_phi_std,sigma0,sigma0_std,log_sigma0,log_sigma0_std,v_max,v_max_std,log_v_max,log_v_max_std,M_DM,M_DM_std,M_BH/M*_sph,M_BH/M*_sph_std,log_M_BH/M*_sph,log_M_BH/M*_sph_std,M_BH/M*_disk,M_BH/M*_disk_std,log_M_BH/M*_disk,log_M_BH/M*_disk_std,M_BH/M*_gal,M_BH/M*_gal_std,log_M_BH/M*_gal,log_M_BH/M*_gal_std,R_e_sph_maj,R_e_sph_maj_std,log_R_e_sph_maj,log_R_e_sph_maj_std,R_e_sph_eq_kpc,R_e_sph_eq_kpc_std,log_R_e_sph_eq_kpc,log_R_e_sph_eq_kpc_std,n_sph_maj,n_sph_maj_std,log_n_sph_maj,log_n_sph_maj_std,n_sph_eq,n_sph_eq_std,log_n_sph_eq,log_n_sph_eq_std,"log(I_e,sph,maj/M_Sun/pc^2)","log(I_e,sph,maj/M_Sun/pc^2)_std","log(I_e,sph,eq/M_Sun/pc^2)","log(I_e,sph,eq/M_Sun/pc^2)_std",Concentration_Index,Concentration_Index_std,avg_Rho_1kpc_Exact_All,avg_Rho_1kpc_Exact_All_std,r1_density_approx,r1_density_approx_std,log10(R10_kpc),log10(R10_kpc)_std,logRho_R10_approx,logRho_R10_approx_std,log_rho10_Exact,log_rho10_Exact_std,log10(R90_kpc),log10(R90_kpc)_std,logRho_R90_approx,logRho_R90_approx_std,log_rho_90_Exact_all,log_rho_90_Exact_all_std,Rho_re_spatial,Rho_re_spatial_std,SR_pc_All,SR_pc_All_std,Rho_SR_pc_All,Rho_SR_pc_All_std,CR_def1_approx_new,CR_def1_approx_new_std,Rho_cr_def1_approx_new,Rho_cr_def1_approx_new_std,CR_def2_approx_new,CR_def2_approx_new_std,Rho_CR_def2_approx_new,Rho_CR_def2_approx_new_std,Sr(pc)_2_using_Falserm_drho,Sr(pc)_2_using_Falserm_drho_std,Log_Approx_Avg_density_10pc,Log_Approx_Avg_density_10pc_std,Rho_e_Exact_new,Rho_e_Exact_new_std,log_Rho_e_Exact_new,log_Rho_e_Exact_new_std,logRho_e_approx_New,logRho_e_approx_New_std,Rsoi_pc_new,Rsoi_pc_new_std,logRho_soi_approx_new,logRho_soi_approx_new_std,Rho_soi_exact_new,Rho_soi_exact_new_std,log_Rho_soi_exact_new,log_Rho_soi_exact_new_std,Rb_maj,Rb_maj_std,Rb_maj_kpc,Rb_maj_kpc_std,Rb_eq_kpc,Rb_eq_kpc_std,Avg_Rho_Re_Exact_all,Avg_Rho_Re_Exact_all_std,Avg_Rho_soi_exact_all,Avg_Rho_soi_exact_all_std,Avg_Rho_re_Exact_all,Avg_Rho_re_Exact_all_std,Rho_re_Exact_all,Rho_re_Exact_all_std,r_soi_2BH_approx,r_soi_2BH_approx_std,Rho_r_soi_2BH_approx,Rho_r_soi_2BH_approx_std,Log_Avg_Rho_10kpc_approx,Log_Avg_Rho_10kpc_approx_std,Log_Avg_Rho_10kpc_exact_final,Log_Avg_Rho_10kpc_exact_final_std,Log_Avg_Rho_100pc_approx,Log_Avg_Rho_100pc_approx_std,Log_Avg_Rho_5kpc_approx,Log_Avg_Rho_5kpc_approx_std,Log_Avg_rho_5kpc_exact_all,Log_Avg_rho_5kpc_exact_all_std
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mrk 1216,S0,ETG,,,,no,yes,no,yes,no,,9.69,0.16,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NGC 0307,SAB0,ETG,-1.9,1.2,,yes,yes,no,no,no,,8.34,0.13,10.43,0.33,10.49,0.36,10.7632,1.20E-01,0.46,0.38,-0.33,0.35,0.54,0.47,-0.27,0.38,,,,,,310.98,15.02,2.49,0.02,,,,,,,8.13E-03,6.64E-03,-2.09,0.36,7.04E-03,6.26E-03,-2.15,0.39,3.77E-03,1.54E-03,-2.42,0.18,0.7569,0.7,-0.12,0.4,0.840159,,-0.08,,3.33,1.91690209,0.52,0.25,3.76,,0.58,,3.420591375,,3.172591375,,4.93E-01,,2.5556,,799.2,,-0.91926034,,1.912539701,0.524731794,1.909978223,,0.645547587,,-2.398411254,0.84205144,-2.39924549,,0.390165271,,133.46,,66.04539035,,133.46,,66.58822603,,125.48,,75.34799508,,8.3,,3.98387245,,0.880515328,,-0.055263079,,-0.05746937,0.291450163,13.12208929,,3.552668,0.623148682,3393.943203,,3.53070457,,,,,,,,3.84286,,6642.66,,2.08879,,0.424079,,46.8,,470.024,,-2.274486926,,-2.274486926,,2.450695494,,-1.40999458,,-1.40999458,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NGC 0404,S0,ETG,-2.8,0.7,,no,yes,no,no,no,,5.74,0.1,8.03,0.5,9.16,0.18,9.19,0.16,0.07,0.08,-1.16,0.53,0.93,0.51,-0.03,0.24,,,,,,38.15,7.17,1.58,0.08,189.81,21.2,2.28,0.05,,,5.13E-03,6.03E-03,-2.29,0.51,3.81E-04,1.78E-04,-3.42,0.2,3.55E-04,1.54E-04,-3.45,0.19,0.06,0.04,-1.23,0.31,0.057572,,-1.24,,0.93,0.406866786,-0.03,0.19,0.9,,-0.05,,3.385070673,,3.381070673,,2.04E-01,,0.0571461,,144.5,,-1.722698658,,1.947373926,0.324438685,1.941712205,,-0.894567623,,0.255602837,0.815152074,0.253679913,,9.919812687,,48.482,,28.87149442,,48.41,,27.83424051,,56.29,,21.00104774,,1.67,,2.231339128,,20.25892905,,1.306616483,,1.302531424,0.292060315,0.251583983,,2.866880025,0.428203577,355.4750474,,2.550809121,,,,,,,,38.0291,,371.036,,24.394,,10.4056,,5.2,,203.879,,-4.662760437,,-4.662760437,,1.166965621,,-3.75967045,,-3.75967045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NGC 0524,SA0(rs),ETG,-1.2,0.6,,no,yes,yes,no,no,BCG,9,0.1,10.88,0.15,11.21,0.2,11.38,0.13,0.32,0.14,-0.5,0.2,0.68,0.38,-0.17,0.24,,,,,,253.46,7.78,2.4,0.01,,,,,,,1.32E-02,5.48E-03,-1.88,0.18,6.10E-03,3.17E-03,-2.21,0.23,4.17E-03,1.58E-03,-2.38,0.16,1.16,0.83,0.06,0.31,1.1,,0.04,,2.29,1.001854774,0.36,0.19,2.16,,0.33,,3.353156735,,3.391439539,,3.35E-01,,3.59723,,1032,,-0.695569523,,1.480983407,0.429389613,1.477134376,,0.512405412,,-1.633435032,0.811715613,-1.63485731,,0.596420364,,108.64,,75.12823841,,108.64,,77.37320603,,413.78,,8.259046075,,12.92,,3.229658844,,1.304390257,,0.115407546,,0.112123298,0.291756183,63.77683875,,2.197049848,0.448971239,149.8443842,,2.175640471,,0.18,,0.02376,,0.020196,,4.11595,,236.975,,2.34793,,0.637808,,176.6,,37.4481,,-2.060846807,,-2.060750383,,2.173719336,,-1.182606531,,-1.182098959,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NGC 0584,S0,ETG,-4.7,0.9,,no,yes,yes,no,no,,8.11,0.18,,,,,,,,,,,,,,,,,,,,205.9,4.22,2.31,0.01,72.35,4.88,1.86,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
